,College_Name,State,,
173,International Institute of Information Technology ,Telangana,,
174,Jawaharlal Nehru Technological University ,Telangana,,
175,"University College of Engineering, Osmania University ",Telangana,,
176,Chaitanya Bharathi Institute of Technology ,Telangana,,
177,Vallurupalli Nageswara Rao Vignana Jyothi Institute of ,Telangana,,
178,"CVR College of Engineering, Ibrahimpatnam, Rangareddi ",Telangana,,
179,Institute of Aeronautical Engineering ,Telangana,,
180,BV Raju Institute of Technology ,Telangana,,
181,Vardhaman College of Engineering ,Telangana,,
182,"Anurag University, Hyderabad ",Telangana,,
183,Vasavi College of Engineering ,Telangana,,
184,Gokaraju Rangaraju Institute of Engineering and Technology ,Telangana,,
185,Kakatiya Institute of Technology & Science ,Telangana,,
186,K L University ,Telangana,,
187,Birla Institute of Technology and Science ,Telangana,,
188,Mahatma Gandhi Institute of Technology ,Telangana,,
189,Malla Reddy Engineering College ,Telangana,,
190,Malla Reddy College of Engineering ,Telangana,,
191,Indian Institute of Chemical Technology ,Telangana,,
192,Sreenidhi Institute of Science and Technology ,Telangana,,
193,"Mahindra University, Hyderabad ",Telangana,,
194,"St Martin's Engineering College, Secunderabad ",Telangana,,
195,MLR Institute of Technology ,Telangana,,
196,Keshav Memorial Institute of Technology ,Telangana,,
197,Vaagdevi College of Engineering ,Telangana,,
198,CMR Engineering College ,Telangana,,
199,"Matrusri Engineering College, Hyderabad ",Telangana,,
200,Indian Institute of Technology ,Madhya pradesh,,
201,Maulana Azad National Institute of Technology ,Madhya pradesh,,
202,Indian Institute of Information Technology Design and ,Madhya pradesh,,
203,Atal Bihari Vajpayee Indian Institute of Information ,Madhya pradesh,,
204,"VIT Bhopal University, Bhopal ",Madhya pradesh,,
205,"RKDF University, Bhopal ",Madhya pradesh,,
206,Awadhesh Pratap Singh University ,Madhya pradesh,,
207,"University Institute of Technology, Rajiv Gandhi Proudyogiki ",Madhya pradesh,,
208,Institute of Information Technology & Management ,Madhya pradesh,,
209,"Institute of Engineering and Technology, Devi Ahilya ",Madhya pradesh,,
210,Acropolis Institute of Technology & Research ,Madhya pradesh,,
211,"Indian Institute of Information Technology -[IIIT], Bhopal ",Madhya pradesh,,
212,Jaypee University of Engineering and Technology ,Madhya pradesh,,
213,Oriental University ,Madhya pradesh,,
214,"Amity University, Gwalior ",Madhya pradesh,,
215,AKS University ,Madhya pradesh,,
216,Jagran Lakecity University ,Madhya pradesh,,
217,Jabalpur Engineering College ,Madhya pradesh,,
218,"Swami Vivekanand University, Sagar ",Madhya pradesh,,
219,"Acropolis Group of Institutions, Indore ",Madhya pradesh,,
220,LNCT University ,Madhya pradesh,,
221,"Avantika University, Ujjain ",Madhya pradesh,,
222,Ujjain Engineering College ,Madhya pradesh,,
223,Shri Govindram Seksaria Institute of Technology and ,Madhya pradesh,,
224,Lakshmi Narain College of Technology ,Madhya pradesh,,
225,National Institute of Technology ,Kerala,,
226,Indian Institute of Space Science and Technology ,Kerala,,
227,"College of Engineering, Trivandrum ",Kerala,,
228,"Cochin University of Science and Technology, School ",Kerala,,
229,Baselios Thomas I Catholicose College of Engineering ,Kerala,,
230,Cochin University of Science and Technology ,Kerala,,
231,Indian Institute of Technology ,Kerala,,
232,APJ Abdul Kalam Technological University ,Kerala,,
233,Federal Institute of Science and Technology ,Kerala,,
234,"Indian Institute of Information Technology [IIIT], Kottayam ",Kerala,,
235,Government Engineering College ,Kerala,,
236,National Institute of Electronics & Information Technology ,Kerala,,
237,TKM College of Engineering ,Kerala,,
238,Amal Jyothi College of Engineering ,Kerala,,
239,Hindustan College of Engineering ,Kerala,,
240,Marian Engineering College ,Kerala,,
241,"Saintgits College of Engineering, Kottayam ",Kerala,,
242,Rajiv Gandhi Institute of Technology ,Kerala,,
243,Mangalam College of Engineering Ettumanoor ,Kerala,,
244,NSS College of Engineering ,Kerala,,
245,Sree Chitra Thirunal College of Engineering ,Kerala,,
246,"Thejus Engineering College, Thrissur ",Kerala,,
247,Mar Athanasius College of Engineering ,Kerala,,
248,St. Thomas College of Engineering and Technology- ,Kerala,,
249,"College of Engineering Thalassery, Kannur ",Kerala,,
250,"KMCT College of Engineering, Kozhikode ",Kerala,,
251,"MEA Engineering College- [MEAEC], Malappuram ",Kerala,,
252,Rajagiri School of Engineering & Technology ,Kerala,,
253,Sahrdaya College of Engineering ,Kerala,,
254,"Trinity College of Engineering, Trivendrum ",Kerala,,
255,Birla Institute of Technology and Science ,Rajasthan,,
256,Indian Institute of Technology ,Rajasthan,,
257,Malaviya National Institute of Technology ,Rajasthan,,
258,"Singhania University, Jhunjhunu ",Rajasthan,,
259,Jaipur National University ,Rajasthan,,
260,Manipal University ,Rajasthan,,
261,JECRC University ,Rajasthan,,
262,SunRise University ,Rajasthan,,
263,"OPJS University, Churu ",Rajasthan,,
264,"Banasthali Vidyapith, Jaipur ",Rajasthan,,
265,"Amity University, Jaipur ",Rajasthan,,
266,Suresh Gyan Vihar University ,Rajasthan,,
267,IIS (Deemed to be University) ,Rajasthan,,
268,Madhav University ,Rajasthan,,
269,"Jagannath University, Jaipur ",Rajasthan,,
270,Indian Institute of Information Technology ,Rajasthan,,
271,"Tantia University, Sriganganagar ",Rajasthan,,
272,"Pacific University, Udaipur ",Rajasthan,,
273,"Swami Keshvanand Institute of Technology, Management and ",Rajasthan,,
274,Maharana Pratap University of Agriculture and Technology ,Rajasthan,,
275,"Poornima College of Engineering, Jaipur ",Rajasthan,,
276,"Shridhar University, Pilani ",Rajasthan,,
277,"Jaipur Engineering College and Research Centre, Jaipur ",Rajasthan,,
278,Birla Institute of Technology ,Rajasthan,,
279,Institute of Advanced Studies in Education ,Rajasthan,,
280,National Institute of Technology ,Haryana,,
281,Panjab University ,Haryana,,
282,Punjab Engineering College University of Technology ,Haryana,,
283,National Institute of Food Technology Entrepreneurship and ,Haryana,,
284,"University Institute of Engineering, Chandigarh University ",Haryana,,
285,"School of Engineering and Technology, NCU ",Haryana,,
286,"J.C. Bose University Of Science And Technology, ",Haryana,,
287,Manav Rachna International Institute Of Research And ,Haryana,,
288,Manav Rachna International Institute of Research and ,Haryana,,
289,"Gurugram University, Gurgaon ",Haryana,,
290,"PDM University, Bahadurgarh, Bahadurgarh ",Haryana,,
291,"Amity University, Gurgaon ",Haryana,,
292,National Institute of Technical Teachers Training and ,Haryana,,
293,"IILM University, Gurgaon ",Haryana,,
294,"University Institute of Engineering and Technology -[UIET], ",Haryana,,
295,"Starex University, Gurgaon ",Haryana,,
296,Indian Institute of Information Technology ,Haryana,,
297,"SRM University Delhi NCR, Sonepat ",Haryana,,
298,"Lingaya's Vidyapeeth, Faridabad ",Haryana,,
299,Modern Vidya Niketan ,Haryana,,
300,Delhi Technical Campus ,Haryana,,
301,Chandigarh College of Engineering and Technology ,Haryana,,
302,Manav Rachna University ,Haryana,,
303,Seth Jai Parkash Mukand Lal Institute of ,Haryana,,
304,"Sushant University / Ansal University, Gurgaon ",Haryana,,
305,"University Institute of Engineering and Technology, Maharshi ",Haryana,,
306,St. Andrews Institute of Technology and Management ,Haryana,,
307,Indian Institute of Technology ,Gujarat,,
308,Sardar Vallabhbhai National Institute of Technology ,Gujarat,,
